incident_date,latitude,longitude,sex,age,marital_status,transport_mode,education_level,witness,crime_type,seguridad.modalidad,special_crime_type,weapon,neighborhood,neighborhood_code,district_code,location,reporting_station,item,item_category,color
26/01/2017 16:05,620.385.653,-7.557.175.798,Male,42,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,Patio Bonito,#1421,14,Public road,Poblado,Accesorios prendas de vestir,Prendas de vestir y accesorios,Oro
26/01/2017 16:05,620.385.653,-7.557.175.798,Male,42,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,Patio Bonito,#1421,14,Public road,Poblado,Cash,"Money, jewelry, and valuables",Unknown
26/01/2017 16:05,620.385.653,-7.557.175.798,Male,42,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,Patio Bonito,#1421,14,Public road,Poblado,Accesorios prendas de vestir,Prendas de vestir y accesorios,Verde
26/01/2017 16:05,620.385.653,-7.557.175.798,Male,42,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,Patio Bonito,#1421,14,Public road,Poblado,School supplies,School supplies,Black
26/01/2017 16:05,620.385.653,-7.557.175.798,Male,42,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,Patio Bonito,#1421,14,Public road,Poblado,School supplies,School supplies,Black
26/01/2017 14:20,621.225.572,-7.557.771.947,Female,44,Married,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Patio Bonito,#1421,14,Public road,Poblado,Cash,"Money, jewelry, and valuables",Unknown
26/01/2017 14:20,621.225.572,-7.557.771.947,Female,44,Married,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Patio Bonito,#1421,14,Public road,Poblado,Billetera,Prendas de vestir y accesorios,Unknown
26/01/2017 18:00,624.736.529,-7.556.974.457,Male,42,Single,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,La Candelaria,#1019,10,Estación del Metro,Candelaria,Cell phone,Technology,Unknown
26/01/2017 15:30,628.719.474,-7.557.472.684,Female,21,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Descuido,Unknown,None,Francisco Antonio Zea,#0513,5,Public road,Castilla,Cell phone,Technology,Unknown
26/01/2017 6:30,624.905.753,-7.556.336.926,Male,38,Single,Autobus,Unknown,Unknown,Personal robbery,Atraco,A bus de servicio público,Firearm,La Candelaria,#1019,10,Bus de servicio público,Candelaria,Autopartes,Autoparte y elementos de la mecánica automotriz,Unknown
27/01/2017 16:00,624.732.915,-7.556.996.193,Male,39,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Guayaquil,#1007,10,Estación del Metro,Candelaria,Cash,"Money, jewelry, and valuables",Unknown
27/01/2017 15:30,626.588.021,-7.558.691.349,Female,41,Single,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,San Germán,#0703,7,Public road,Castilla,Cell phone,Technology,White
27/01/2017 15:00,624.614.554,-7.556.546.551,Male,55,Common-law union,Autobus,Unknown,Unknown,Personal robbery,Raponazo,None,None,La Candelaria,#1019,10,Metro Plus,Candelaria,Cell phone,Technology,Black
27/01/2017 16:00,624.732.915,-7.556.996.193,Male,39,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Guayaquil,#1007,10,Estación del Metro,Candelaria,Billetera,Prendas de vestir y accesorios,Unknown
28/01/2017 20:30,625.783.952,-7.558.467.116,Male,51,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Arma cortopunzante,Carlos E. Restrepo,#1101,11,Public road,Laureles,Cash,"Money, jewelry, and valuables",Unknown
28/01/2017 11:45,621.339.697,-7.557.760.529,Male,50,Single,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Patio Bonito,#1421,14,Estación del Metro,Poblado,Cell phone,Technology,Unknown
28/01/2017 18:00,624.657.459,-755.679.154,Female,21,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Atraco,Unknown,Arma cortopunzante,Barrio Colón,#1013,10,Bus de servicio público,Candelaria,Cell phone,Technology,Unknown
28/01/2017 14:40,624.402.797,-7.556.868.623,Female,30,Married,Autobus,Unknown,Unknown,Personal robbery,Raponazo,Unknown,None,Barrio Colón,#1013,10,Public road,Candelaria,Cell phone,Technology,Unknown
29/01/2017 0:00,625.628.244,-7.555.845.525,Male,19,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,Fleteo,Firearm,San Miguel,#0803,8,Public road,Villa Hermosa,Cash,"Money, jewelry, and valuables",Unknown
30/01/2017 16:00,622.899.015,-7.557.461.824,Female,54,Common-law union,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Barrio Colombia,#1401,14,Bus de servicio público,Poblado,Cédula,Documentos,Unknown
30/01/2017 16:00,622.899.015,-7.557.461.824,Female,54,Common-law union,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Barrio Colombia,#1401,14,Bus de servicio público,Poblado,Billetera,Prendas de vestir y accesorios,Unknown
30/01/2017 16:00,624.729.182,-7.556.988.683,Male,32,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Guayaquil,#1007,10,Estación del Metro,Candelaria,Cash,"Money, jewelry, and valuables",Unknown
30/01/2017 8:00,629.041.635,-7.556.989.772,Female,57,Divorced,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Castilla,#0511,5,Bus de servicio público,Castilla,Billetera,Prendas de vestir y accesorios,Unknown
30/01/2017 18:00,621.326.368,-7.557.760.889,Female,49,Married,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Patio Bonito,#1421,14,Estación del Metro,Poblado,Cell phone,Technology,Unknown
30/01/2017 16:00,628.534.367,-7.558.675.097,Male,24,Divorced,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,El Diamante,#0711,7,Bus de servicio público,Castilla,Cédula,Documentos,Unknown
30/01/2017 16:00,628.534.367,-7.558.675.097,Male,24,Divorced,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,El Diamante,#0711,7,Bus de servicio público,Castilla,Billetera,Prendas de vestir y accesorios,Unknown
30/01/2017 16:00,624.729.182,-7.556.988.683,Male,32,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Guayaquil,#1007,10,Estación del Metro,Candelaria,Cédula,Documentos,Unknown
31/01/2017 12:13,62.871.352,-7.557.026.234,Male,26,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Atraco,Fleteo,Firearm,Castilla,#0511,5,Public road,Castilla,Cash,"Money, jewelry, and valuables",Unknown
31/01/2017 6:00,625.873.537,-7.556.516.614,Female,24,Single,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Prado,#1001,10,Bus de servicio público,Candelaria,Cédula,Documentos,Unknown
31/01/2017 6:00,625.873.537,-7.556.516.614,Female,24,Single,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Prado,#1001,10,Bus de servicio público,Candelaria,Cash,"Money, jewelry, and valuables",Unknown
31/01/2017 16:00,627.804.913,-7.556.957.569,Male,58,Widowed,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Terminal de Transporte,#Inst_4,5,Estación del Metro,Castilla,Cédula,Documentos,Unknown
31/01/2017 9:25,627.818.777,-7.556.981.172,Female,19,Single,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Terminal de Transporte,#Inst_4,5,Estación del Metro,Castilla,Cédula,Documentos,Unknown
31/01/2017 19:10,627.268.486,-7.557.180.729,Female,38,Single,Autobus,Unknown,Unknown,Personal robbery,Atraco,Unknown,None,Caribe,#0517,5,Bus de servicio público,Castilla,Cell phone,Technology,Black
31/01/2017 16:00,627.804.913,-7.556.957.569,Male,58,Widowed,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Terminal de Transporte,#Inst_4,5,Estación del Metro,Castilla,Cash,"Money, jewelry, and valuables",Unknown
01/02/2017 17:40,623.059.531,-7.557.544.973,Female,35,Single,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Barrio Colombia,#1401,14,Estación del Metro,Poblado,Cédula,Documentos,Unknown
01/02/2017 17:40,623.059.531,-7.557.544.973,Female,35,Single,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Barrio Colombia,#1401,14,Estación del Metro,Poblado,Cash,"Money, jewelry, and valuables",Unknown
01/02/2017 9:45,626.020.713,-7.557.520.833,Female,24,Single,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Universidad Nacional,#Inst_8,7,Bus de servicio público,Castilla,Cédula,Documentos,Unknown
01/02/2017 18:00,625.283.232,-755.685.189,Female,30,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,Unknown,Arma cortopunzante,La Candelaria,#1019,10,Bus de servicio público,Candelaria,Cell phone,Technology,Unknown
01/02/2017 9:45,626.020.713,-7.557.520.833,Female,24,Single,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Universidad Nacional,#Inst_8,7,Bus de servicio público,Castilla,Billetera,Prendas de vestir y accesorios,Unknown
01/02/2017 14:50,624.668.924,-7.557.565.894,Female,18,Single,Autobus,Unknown,Unknown,Personal robbery,Atraco,Unknown,None,Corazón de Jesús,#1008,10,Bus de servicio público,Candelaria,Cell phone,Technology,Unknown
01/02/2017 18:00,625.283.232,-755.685.189,Female,30,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,Unknown,Arma cortopunzante,La Candelaria,#1019,10,Bus de servicio público,Candelaria,Cell phone,Technology,Unknown
01/02/2017 7:15,626.366.253,-7.556.333.151,Male,26,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Prado,#1001,10,Estación del Metro,Candelaria,Cell phone,Technology,Unknown
01/02/2017 10:00,625.256.037,-7.556.803.074,Male,30,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,Unknown,Arma cortopunzante,La Candelaria,#1019,10,Public road,Candelaria,Cell phone,Technology,Unknown
01/02/2017 17:30,619.350.485,-7.558.171,Male,60,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Santa María de los Ángeles,#1423,14,Estación del Metro,Poblado,Cell phone,Technology,Unknown
02/02/2017 19:30,623.895.718,-7.560.023.231,Female,50,Married,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Las Acacias,#1109,11,Metro Plus,Laureles,Cédula,Documentos,Amarillo
02/02/2017 3:00,626.462.726,-7.556.433.906,Male,65,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,Unknown,Firearm,Sevilla,#0407,4,Public road,Aranjuez,Salsa,Alimento,Unknown
02/02/2017 18:45,62.584.511,-7.559.773.224,Female,36,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,El Velódromo,#1112,11,Estación del Metro,Laureles,Cash,"Money, jewelry, and valuables",Unknown
02/02/2017 3:00,626.462.726,-7.556.433.906,Male,65,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,Unknown,Firearm,Sevilla,#0407,4,Public road,Aranjuez,Cash,"Money, jewelry, and valuables",Unknown
02/02/2017 19:30,623.895.718,-7.560.023.231,Female,50,Married,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Las Acacias,#1109,11,Metro Plus,Laureles,Tarjeta bancaria,"Money, jewelry, and valuables",Blue
02/02/2017 19:30,623.895.718,-7.560.023.231,Female,50,Married,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Las Acacias,#1109,11,Metro Plus,Laureles,Cash,"Money, jewelry, and valuables",Unknown
